鄉鎮市區,交易年月日,建物移轉總面積平方公尺,總價元,車位總價元,資料來源,縣市,房屋單價（元/平方公尺）
信義區,1110121,112.28,3300000,0,成屋,基隆市,29390.80869255433
中正區,1110107,130.33,5500000,0,成屋,基隆市,42200.56778945753
信義區,1110106,134.85,11500000,0,成屋,基隆市,85279.94067482388
中山區,1110114,61.16,1980000,0,成屋,基隆市,32374.100719424463
信義區,1110105,167.75,12350000,1150000,成屋,基隆市,66766.02086438151
暖暖區,1110110,88.54,2500000,0,成屋,基隆市,28235.825615540998
信義區,1110102,217.12,13880000,1150000,成屋,基隆市,58631.17170228445
仁愛區,1110128,83.72,3300000,0,成屋,基隆市,39417.10463449594
信義區,1110109,88.92,6350000,0,成屋,基隆市,71412.50562303193
安樂區,1110113,104.6,5310000,0,成屋,基隆市,50764.818355640535
中正區,1110104,80.6,3120000,0,成屋,基隆市,38709.67741935484
中正區,1110116,47.64,2850000,0,成屋,基隆市,59823.67758186398
七堵區,1110124,134.36,7430000,0,成屋,基隆市,55299.19618934206
仁愛區,1110125,58.76,1250000,0,成屋,基隆市,21272.974812797824
安樂區,1110115,89.79,4600000,0,成屋,基隆市,51230.649292794296
中山區,1110110,83.69,4500000,0,成屋,基隆市,53769.86497789461
安樂區,1110112,130.25,7880000,0,成屋,基隆市,60499.04030710173
中山區,1110123,55.01,2600000,0,成屋,基隆市,47264.13379385566
信義區,1110102,184.53,10350000,1550000,成屋,基隆市,47688.72270091584
信義區,1110122,179.4,11900000,0,成屋,基隆市,66332.21850613155
中正區,1110103,172.98000000000002,9500000,900000,成屋,基隆市,49716.73025783327
安樂區,1110114,84.14999999999999,3600000,0,成屋,基隆市,42780.74866310161
安樂區,1110117,87.54,4080000,0,成屋,基隆市,46607.265250171346
仁愛區,1110115,101.12,5500000,0,成屋,基隆市,54390.82278481012
暖暖區,1110119,73.62,6990000,0,成屋,基隆市,94947.02526487366
信義區,1110114,133.43,4200000,0,成屋,基隆市,31477.179045192235
